sof_neighborhood_shop,sof_main_super_market,sof_mini_super_market,sof_home_delivery_or_mobile_shops,sof_own_field,sof_govt_ngo,sof_online,sof_neighbors,sof_fairs,fin_bank_city,fin_bank_near,fin_local_financial,fin_atm_city,fin_atm_near,fin_online_banking,fin_post_office,lei_trips,lei_recreational,lei_social_gathering,mot_public,mot_shared_vehi,mot_hired,mot_own_vehicle,mot_bicycle,mot_walking,w_work_from_home,w_come_from_home,w_come_from_renthouse,w_come_from_commonhostel,wmot_public,wmot_shared,wmot_hired,wmot_own_vehicle,wmot_bicycle,wmot_walking,w_alone_home,w_with_few_known,w_with_few_known_lim_unknown,w_with_few_irre_unknown,w_with_large_irre_unknown
-1,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.333333333,0,-0.666666667,0,0,0,-0.333333333,0,0,0,0,0,0,1.666666667,1.666666667,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,3
2,0,0,-1,0,0,0,-1.333333333,0,-1,0,0,0,0,0,1.666666667,0,0,0,2.666666667,0,1.333333333,0,0,0,0,2.666666667,0,0,2,0,0,0,0,1.333333333,0,0,0,0,3
0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.666666667,0,0,0,-0.333333333,0,0,0,0,0,0,2,2,1.333333333,0,0,0,0,0,0,-0.666666667,0,0,0,0,0,0,0,0,0,-1,1,0,0,0
0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,-0.333333333,0,0,0.333333333,0,0,2.666666667,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.333333333,0,0,0,0,0,0,1.666666667,1,0,0,-1,0,0,2,0.666666667,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.333333333,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,2,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0
-0.666666667,1,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,2.666666667,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.333333333,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,2,3,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.333333333,0.666666667,0,-0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0,0,-3,1.333333333,2,0,0
0.333333333,0,0,-0.333333333,0,0,0,0,0,1,0,0,0,0,-0.666666667,0,0,0,1,2,0,0,-0.333333333,0,0,0,1.333333333,0,0,0,0,0,1.333333333,0,0,0,0,-2,2,0
1,0,1,0,0,0,0,0,0,0.666666667,0,0,0.666666667,0.666666667,0,0,1,0.666666667,0,1,0,0,1,0,1.333333333,0,1.666666667,0,0,0,0,-0.333333333,1.666666667,0,0,0,1.666666667,0.666666667,0,0
0,0,0,-1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,2.666666667,1.666666667,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,2,-1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.333333333,0,0,-1,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,1,1,0,0,0,0,1,1,0,0,0.333333333,0,0,1,1,1,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,3,2,0,-0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,3,1.333333333,0,0,-0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.666666667,0,0,-0.333333333,0,0,0,0,0,1,0,0,0,0,0,0.333333333,0,0,2,1.666666667,0,0,0,0,0.333333333,0,1,0,0,0,0,0,0,1.666666667,0,0,1.666666667,0,0,0
1.333333333,0,0.333333333,-0.333333333,1,0,0,1,0,0,0,0,0,1.666666667,0,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,-0.666666667,0,0,0,0
0.333333333,0,0,-0.333333333,0,0,0,0,0,1.333333333,0,0,-1,0,0,0,0,0,2,1.333333333,0,0,-0.333333333,0,0,-0.666666667,2,0,0,0,0,0,1.666666667,0,0,0,0,2,0,0
1.666666667,0,0,1,0,-0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,2.666666667,0,0,0,2.666666667,0,0,0,0,0,2.666666667,0,0,0,2.666666667,0,0,-0.333333333
0.333333333,0,0,-0.666666667,0,0,0,0,0,0.666666667,0,0,-1,0,0,0,1,0,2,1.333333333,0,0,0,0,0,0,0.666666667,0,0,1.333333333,-1.333333333,0,0,0,0,0,0,0.666666667,0,0
1,2.666666667,0,0.666666667,0,0.333333333,0,0,1,1,1,0,0,1.666666667,0,1,1,1,2,0.333333333,-0.666666667,-0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.333333333,0,-0.666666667,0,0,0,-0.333333333,0,0,0,0,0,0,2,2,1.666666667,0,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,-0.666666667,0.666666667,0,0,0
0.333333333,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2.333333333,0,0,0,0,0,0,0,0,0,2.333333333,0,0,0
-0.333333333,1,0,-0.333333333,0,0,0,0,0,1.333333333,0,0,-1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.333333333,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.333333333,1.333333333,0,0,0,0,0,-1.333333333,0,1.333333333,0,0,-1,0,0,0,1,0,2,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0
1,1,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.666666667,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0
2,0,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,-0.333333333,0,1,0,-0.333333333,1,0,0.666666667,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0
0,0,0,-0.333333333,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,-0.333333333,0,0,1,0,0,0,0,0,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,-1.333333333,0,-0.666666667,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,1,1.666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.666666667,0,0,0,0,0,0,0,0,1.666666667,0,0,-1,0,0,0,1,0,2,0.666666667,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0.333333333,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,3,1,0,0,0,0,0,-1.666666667,2,0,0,1,0,0,-1,0,0,0,0,1,0,0
-0.666666667,1,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,1,0,2,1.333333333,0,0,0,0,0,-1.666666667,1.333333333,0,0,1,0,0,1.333333333,0,0,-1.666666667,1.333333333,1.333333333,0,0
1,0.333333333,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,-0.333333333,-0.333333333,-0.333333333,1,1,0,1,0.666666667,1,0,1,1,1,0,-0.333333333,0,0,0,0,1,0,0,-0.333333333,0,0,-1,1,1,0,0.666666667,0,1,2,0,0
-1,0,0,-0.333333333,0,0,0,0,0,0.333333333,0,0,0.333333333,-1.333333333,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0
0.333333333,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666666667,0,0,-0.333333333,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,2.333333333,1.333333333,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,1.333333333,0,1.333333333,0,0,0
0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2.333333333,1.333333333,0,0,0,0,0,0,1.333333333,0,0,1.333333333,0,0,0,0,0,0,0,0,1.333333333,0
0,0,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,2,2,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,-0.666666667,0,3,0,0,0,0,-1,1,1,1,1,1,0,1,0,0,0,-3,0,0,0,1,-0.333333333,0,0,0,0,-2,3,1,0,1
0,0,0,0,0,-0.666666667,0,0,0,-0.333333333,0,0,0,0,0,0,2,2,1.666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333,0.333333333,0,0,0
0,0,0,-0.666666667,-1,-0.666666667,0,0,0,-0.333333333,0,0,0,0,0,0,1,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,0,-0.333333333,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.666666667,0,0,-1,-0.666666667,-0.666666667,-0.333333333,0,0,1,0,0,0,1,0,1,2,2,1,0,0,2,2,0.333333333,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,-3,-0.666666667,0,0,1,0,-0.333333333,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1.666666667,2,0,0,0,0,0,0,0,0,-1,0,1,1,0
0,1,1,-1,0,1,0,-1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.666666667,1.333333333,0,0
1,2,0.666666667,0,0.666666667,1,0,0,0,0,0,0,2.333333333,0.666666667,0,0.333333333,0.666666667,1.666666667,0.666666667,0,0,0,1.333333333,0,0,0,1.666666667,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,-2,0,0,0,0,0,0,3,0,0,-2,0,0,0,0,0,0,0
-1.333333333,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,1,3,0,0,0,0,-3,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0
1.333333333,0,-0.333333333,0,0,0.666666667,0,1,1.666666667,0.666666667,0.666666667,0,0,0,0,1,1,0,2.666666667,1.666666667,0,2,0,0.666666667,1.666666667,0,2.333333333,0,0,0.666666667,0,0,0,0,1.333333333,0,2.333333333,0,-0.666666667,0
1,1,1,-0.666666667,0,1,0,-1.333333333,2,2,1,0,1,1,0,1,1,1,1,0,0,1,0,1.666666667,0,0,0,0,0,0,0,1,0,0.666666667,0,0,1.333333333,1,0,1
0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.666666667,0,0,-1,0,0,0,-1,1.333333333,0,1,0,0,0,0,0,1.666666667,0.666666667,0.333333333,0.666666667,0,0,2,0,1,2.666666667,0,0,0,0,0,0,2,0,1,0,0,0,0,0
0,1,1,0.333333333,0,0,0,-0.666666667,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,1,0,0.666666667,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333333333,0,0,-0.666666667,0,0,0,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,1.333333333,0,0,1.333333333,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1.666666667,1.666666667,2,2.666666667,0,1,0,0,1,0,2.666666667,0,0,3,0,1,0,0,1,0,2,2,0,0
1,0,0,-0.333333333,0,0,0,0,0,2,0,0,-1,0,-1,0,0,0,0,0,0,-0.666666667,-1,0,0,0,1.333333333,0,0,0,0,0,0,0,1,0,0,1.666666667,0,0
2,1,0,0,0,0,0,0,-0.666666667,0.333333333,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1.666666667,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.333333333,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1.666666667,0,0,0,0,0,0,2,0,0,1.333333333,0,0,0,0,0,0,1.333333333,0,0,0
0,0,1,-1.666666667,0,1.333333333,-1,0,0,1.333333333,0,0,0,0,0,1,2,0,2,-0.666666667,0,0,0,0,0.666666667,0,-1.666666667,0,2,0,0,0,0,0,0,0,0,0,1,0
1,1,1,-1,0,0,-1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.333333333,0,0,0,0,1.666666667,1,-0.333333333,0,1,0,0,0,0,0,0,1.666666667,0,-0.333333333,-1,0,-0.333333333,0,0,0,0,0,0,0,-1,1,0.666666667,0,1.666666667,0.666666667,-1,-0.333333333
0,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-2,0,0,0,0,0,2,0,-0.333333333,1,1,0,0,0,0,1,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,2,0,0
1,1,1,-1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-2,2,0,-0.666666667,0,0,0,0,0,0,0,0,0,1.333333333,0.333333333,0,0,0,0.333333333,0,0,0,-2,2,0,0,0,0,1,0,0,0,-2,-0.333333333,0,0,0
1,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,-0.666666667,0,0,0,-0.666666667,0,0,0,0,0,0,0,0,0,1,1,0.666666667,0,-0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666666667,1,0.333333333,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0.666666667,0,0,1,1,0,1,0,0,0,0,2.666666667,0,3,0,0,0,0,0,0,0,2.333333333,0,2.666666667,2.666666667,0,0
1,0,0,-0.666666667,0,-0.333333333,0,-1,0,1,0,1,0,0,0,1,1,1,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0
0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,0,0.333333333,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
0,3,0,-1,-2,0,0,-1,2,3,0,0,1,1,0,0,2,3,3,2,0,1,1,0,0,-1.333333333,2.333333333,0,0,2,0,1,2.333333333,0,0,0,1.666666667,2.333333333,2.333333333,2.333333333
0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0,1,0
1.666666667,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0.666666667,0,0,0,0,0.666666667,0,0,0,0,0.666666667,0.333333333,0,0
1.666666667,0,0,1.333333333,0,0,0,0,0,1,0,0,0.333333333,0.666666667,0,1,0,0,1,3,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,-0.333333333,0.666666667,0,-0.333333333,1.333333333,3,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,-1.666666667,0.666666667,0,0,0,0,0,0,0,0,-1.666666667,0,0,0,0
0,0,1,2.333333333,0.666666667,0.666666667,-0.333333333,0,0,1.333333333,0.333333333,0,1.333333333,1,0,0,1,1,0,0,0,0,0.333333333,0,0,0,1.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0.333333333,1,1,0,1,0.333333333,0,0,1,1,1,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0
0,0,0,-1.333333333,0,0,0,-0.666666667,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,-1.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.333333333,2,0,1,0,1.666666667,0,0,0,0.666666667,0,0,-1,0,-1.333333333,1,1,0,1,1.666666667,0,0,-0.666666667,0,0,-2,0.666666667,0,0,1,0.666666667,0,-1,0,2,-1.666666667,1.333333333,1.666666667,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666666667,0.666666667,1.333333333,0.666666667,0,0,0,0,0,0.666666667,0.666666667,0,1.666666667,0.666666667,0,0,1,1,2,0,0,1.666666667,2.666666667,0,0.666666667,0.666666667,3,0,0,0,0,0.666666667,1.666666667,0,0,-0.333333333,1.666666667,0,0,0
0,0,0,-1,0,0,0,0.333333333,0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,-2,0,0,-0.333333333,0,0,0.666666667,0,0,1,1,0,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0.333333333,0,-0.333333333,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,0.666666667,0.666666667,0,0,0,0,0.666666667,0,1,0,-0.666666667,0.333333333,0,0,1,1,1,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.333333333,0,0,-0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.333333333,3,0,1,2.333333333,0,0,0,2.333333333,0,0,0,0,0,2.333333333,0,0,0,0.333333333,0,0,0
0,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0.666666667,0,0,0,0,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.333333333,0,0,0,0,0,-0.666666667,0,0,0,0,0,0,0,0,0,-2,1.333333333,0,0,0
0.666666667,0,0,0,0,0,0,0,0,0.666666667,0,0,0.666666667,0,0,0,0,0,0,2,0,-0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,2,0,-0.333333333,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,2,0,1
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,-0.333333333,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,-0.333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0
0.666666667,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,3,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.666666667,1.333333333,0,0,1,0,0,1,0.333333333,0.333333333,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.333333333,0,0,0,0,0,0,1,0.666666667,1,0,0,0,1.333333333,0,0,0,0,0,0,0,0,1.666666667,0,0,2,0,0,0,0,0,0,2.333333333,0,0,0,2,0,0,0
1,0,0,0,0,0,-0.333333333,0.666666667,0.333333333,0,1,0,-0.333333333,1,0,0,0,0,0,2.333333333,0,0,0,0,2.333333333,0,2.333333333,0,0,0.666666667,0,0,0,0,2.333333333,0,0,0,0,2.666666667
1.666666667,0,0,0,0,0,0,0,0,1.666666667,0.333333333,0,1,2,0,0,0.333333333,0.666666667,1.666666667,0,0,0,2.333333333,0,0,0,3,0,0,0,0,0,2.333333333,0,0,0,0,3,0,0
1.333333333,1,0,1,0,0,0,0.333333333,0,2.666666667,2.333333333,3,1.666666667,1,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0.333333333,0,-0.333333333,1,-0.333333333,0.333333333,0,0,0,0,0,1,0,0,1.666666667,0,0.666666667,0,0,0.666666667,0,2.666666667,0,0,3,0,0,0,0,2,0,1.666666667,0,0,0
1,0,0,0.666666667,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.333333333,0,0,0,0,0,0,2,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,-1.666666667,2.666666667,0,0,0,0,0,0.666666667,0,0,0,1.666666667,0,0,0
1,0,0,-2,0,0,0,-1,0,2,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
